config,run,stream,window_index,window_start_s,mean_IAT,IAT_variance,mean_frame_size,burst_length,count,phase_offset_mean_us,phase_offset_std_us,gate_util,queue_depth_max,drops,label
BenignDiverse,0,av2,0,0.0,9.001607837614679e-05,1.1628906550368074e-12,500.0,1,110,3.5117274166666665,11.04558092337483,0.2500000000000001,3.0,0,0
BenignDiverse,0,av2,1,0.01,8.998127009999999e-05,1.4365712919703225e-12,500.0,1,111,,,0.24999999999999986,0,0,0
BenignDiverse,0,av2,2,0.02,9.005547130000001e-05,1.4751995433071213e-12,500.0,1,111,,,0.2500000000000003,0,0,0
BenignDiverse,0,av2,3,0.03,9.010608150000002e-05,1.4297107552377412e-12,500.0,1,111,,,0.25000000000000017,0,0,0
BenignDiverse,0,av2,4,0.04,9.005336768181818e-05,1.3002008311916302e-12,500.0,1,111,,,0.25000000000000017,0,0,0
BenignDiverse,0,av2,5,0.05,9.00840578181818e-05,1.4809110766044483e-12,500.0,1,111,,,0.25000000000000017,0,0,0
BenignDiverse,0,av2,6,0.06,9.003197673636364e-05,1.4128566565579775e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,0,av2,7,0.07,9.015447460909091e-05,1.3126868463010003e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,0,av2,8,0.08,8.998716490000006e-05,1.4599708926994112e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,0,av2,9,0.09,9.004408593636369e-05,1.3955518344711404e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,0,av2,10,0.1,8.998060225454546e-05,1.370108252548337e-12,500.0,1,111,,,0.24999999999999895,0,0,0
BenignDiverse,0,av2,11,0.11,9.034681529090914e-05,1.115048017052481e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,0,av2,12,0.12,9.012727439090906e-05,1.2433888979025927e-12,500.0,1,111,,,0.24999999999998612,0,0,0
BenignDiverse,0,av2,13,0.13,9.00389570363634e-05,1.2843232117645538e-12,500.0,1,111,,,0.24999999999997224,0,0,0
BenignDiverse,0,av2,14,0.14,9.009698254545446e-05,1.4269418307809224e-12,500.0,1,111,,,0.250000000000025,0,0,0
BenignDiverse,0,radarNode,0,0.0,0.0004998780762105263,7.40589871321743e-12,64.0,1,20,3.4282094166666663,9.56319763145615,0.2500000000000001,2.0,0,0
BenignDiverse,0,radarNode,1,0.01,0.0004991337705263158,9.481554886525858e-12,64.0,1,20,,,0.24999999999999986,0,0,0
BenignDiverse,0,radarNode,2,0.02,0.0005001047365789475,3.695484561051286e-12,64.0,1,20,,,0.2500000000000003,0,0,0
BenignDiverse,0,radarNode,3,0.03,0.0004991428842631581,6.5145262611718835e-12,64.0,1,20,,,0.25000000000000017,0,0,0
BenignDiverse,0,radarNode,4,0.04,0.0005011509747894739,1.1240212543872128e-11,64.0,1,20,,,0.25000000000000017,0,0,0
BenignDiverse,0,radarNode,5,0.05,0.0004981225529999999,5.597134049929955e-12,64.0,1,20,,,0.25000000000000017,0,0,0
BenignDiverse,0,radarNode,6,0.06,0.0005004707058421051,7.785406320552759e-12,64.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,0,radarNode,7,0.07,0.0004992458754736846,8.344836741349026e-12,64.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,0,radarNode,8,0.08,0.0005003936550526316,1.1205552730205553e-11,64.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,0,radarNode,9,0.09,0.0005014912028947369,9.23621515328213e-12,64.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,0,radarNode,10,0.1,0.0005000595871578948,6.827815517403662e-12,64.0,1,20,,,0.24999999999999895,0,0,0
BenignDiverse,0,radarNode,11,0.11,0.0004996245872631574,1.1919258822100776e-11,64.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,0,radarNode,12,0.12,0.0005000793284210533,9.017931763199581e-12,64.0,1,20,,,0.24999999999998612,0,0,0
BenignDiverse,0,radarNode,13,0.13,0.0005005089033157896,8.878361087586738e-12,64.0,1,20,,,0.24999999999997224,0,0,0
BenignDiverse,0,radarNode,14,0.14,0.0005005670755789466,9.990447584275418e-12,64.0,1,20,,,0.250000000000025,0,0,0
BenignDiverse,0,zonalHost,0,0.0,0.0004990741604499999,8.995206639001487e-12,20.0,1,21,3.151521895833333,8.244963721235836,0.2500000000000001,2.0,0,0
BenignDiverse,0,zonalHost,1,0.01,0.0004992120875263158,8.266324138866949e-12,20.0,1,20,,,0.24999999999999986,0,0,0
BenignDiverse,0,zonalHost,2,0.02,0.0004996862944210525,1.0078113672755743e-11,20.0,1,20,,,0.2500000000000003,0,0,0
BenignDiverse,0,zonalHost,3,0.03,0.0005001113681052633,8.471113238641546e-12,20.0,1,20,,,0.25000000000000017,0,0,0
